161,Loyola Marymount,32,11,21,0.344,-1.09,3.88,4,12,7,9,2,9,67.8,22.8,51.9,0.439,7.69,23.5,0.327,14.5,19.7,8.53,29.3,13.4,6.72,3.41,12.3,18,,
162,Loyola (MD),32,15,17,0.469,-9.59,-7.23,7,11,9,4,5,13,74.8,26.5,60.4,0.439,7.75,23.8,0.325,14,19.3,10.5,35.7,14.8,6.72,3.16,12.9,20.1,,
163,Maine,31,9,22,0.29,-11.88,-3.71,5,11,5,7,3,15,68,23.4,55.1,0.424,7.9,24.8,0.319,13.4,17.7,9.35,33.7,12.7,7.58,2.35,12.4,15.4,,
164,Manhattan,31,13,18,0.419,-8.42,-6.26,8,12,7,6,5,11,64.2,21.2,50.8,0.418,5.81,16.8,0.345,16,23.4,10,35.7,12.1,6.35,3.03,14.9,18.9,,
165,Marist,30,7,23,0.233,-12.22,-7.08,6,14,4,10,3,12,65.7,21.7,51.7,0.419,7.6,22.2,0.342,14.7,20.2,8.23,34.6,12.5,6.53,2.3,13.7,16.9,,
166,Marquette,30,18,12,0.6,15.44,9.3,8,10,13,3,3,8,71.6,25.3,61.3,0.412,6.9,21.4,0.322,14.2,21.4,10.2,35,13.1,6.7,3.07,11,19.4,,
167,Marshall,32,17,15,0.531,1.7,-0.05,10,8,10,6,5,9,73.1,25.1,62.4,0.403,6.88,20.8,0.331,16,23.1,13.1,41.1,10.4,8.19,3.06,15.4,15.6,,
168,Maryland-Baltimore County,33,16,17,0.485,-8.08,-4.43,8,8,11,5,5,10,66.9,23,55.9,0.412,7.97,25,0.319,12.9,17.3,9.09,34.5,11.7,6.39,2.91,13.3,17.9,,
169,Maryland-Eastern Shore,32,5,27,0.156,-22.03,-6.45,4,12,4,6,1,20,71.2,24.9,55.9,0.445,7.25,21.5,0.337,14.2,20.5,10.4,39.9,13.5,7.34,3.63,15.1,14.9,,
170,Maryland,31,24,7,0.774,17.82,10.5,14,6,16,1,5,6,64.5,23.6,59.1,0.399,7.32,22.5,0.325,10,14.3,9.61,34,12.9,5.48,3.55,11.7,19,,
171,Massachusetts-Lowell,32,13,19,0.406,-8.19,-5.35,7,9,8,9,5,10,76,28.2,60.8,0.463,7.41,21.9,0.338,12.3,17.2,10.3,35.1,13.8,6.72,3.25,13.4,19.6,,
172,Massachusetts,31,14,17,0.452,1.12,3.79,8,10,11,5,3,9,71.2,26,56.8,0.457,5.97,18.1,0.33,13.2,19,10.2,36.1,14.5,7.1,2.19,14.2,18,,
173,McNeese State,32,15,17,0.469,-9.11,-6.93,10,10,10,5,5,11,74.7,26.7,62,0.431,8.66,24.3,0.356,12.6,17,11.3,32.9,14.3,7.78,2.97,13.5,18.1,,
174,Memphis,31,21,10,0.677,12.16,5.07,10,8,15,3,5,6,64.9,22,61,0.361,6.23,22.3,0.28,14.7,21.4,12.3,36.7,11.5,7.68,3,14.9,19.5,,
175,Mercer,32,17,15,0.531,-3.13,-2.7,11,7,9,6,8,6,70.3,24.8,57.5,0.432,7.44,23.2,0.321,13.2,19.9,9.31,32.3,12.7,7,2.59,12.8,15.9,,
176,Merrimack,31,20,11,0.645,-6.93,-6.53,14,4,10,2,9,8,60.2,21.1,50.1,0.422,4.71,15.6,0.302,13.2,18.5,10.8,36.8,12.3,5.06,3.52,17.4,15,,
177,Miami (FL),31,15,16,0.484,6.63,8.66,7,13,9,5,4,8,73.2,27.8,62.7,0.443,7.39,21.8,0.339,10.2,14.4,11.7,38.5,15.2,6.16,4.32,12.4,16.3,,
178,Miami (OH),32,13,19,0.406,-4.17,-0.57,5,13,10,6,2,11,71.1,24.8,56.8,0.436,7.81,22.2,0.352,13.7,20.2,9.97,37.1,11.3,5.41,3.22,12.4,17.2,,
179,Michigan State,31,22,9,0.71,21.92,10.76,14,6,12,3,7,4,64.7,22.9,60.4,0.379,6.55,22.8,0.287,12.5,17.7,10.4,33.1,12.7,6,3.39,11,17.1,,
180,Michigan,31,19,12,0.613,17.94,11.17,10,10,11,5,4,7,68.3,25.8,60.9,0.423,5.58,17.3,0.323,11.1,16.1,9.39,35.3,10.2,4.61,2.68,11.3,15.9,,
181,Middle Tennessee,31,8,23,0.258,-8.41,0.84,4,14,5,10,3,10,75.2,26.4,56.3,0.468,7.23,19.1,0.378,15.3,21.7,9.06,36.4,13.7,6.61,2.84,14.3,16.6,,
